REGISTRO;P0;P1;P2;P3;P3A;P4;P5A_1;P5B_1;P5A_2;P5B_2;P5A_3;P5B_3;P5A_4;P5B_4;P5A_5;P5B_5;P6;P7;P8;P9;P10;D1;D2;D3;D4;D5;D6;CA;AUT;HABI;POND
1752;1;1;1;96;97;4;1;0;1;0;1;0;1;0;1;0;4;2;2;1;98;98;1;2;2;4;1;7;7;3;0,99817
1758;1;1;1;2;;13;1;2;1;4;1;4;1;4;1;0;2;1;2;2;1;2;3;2;2;5;1;10;10;2;1,03536
1759;1;2;1;1;;1;1;9;1;9;1;3;1;0;1;98;1;1;96;98;1;5;3;2;1;5;1;21;6;2;1,08674
1760;1;1;1;14;;1;1;7;1;6;1;0;1;0;1;9;1;2;2;1;1;5;1;1;3;4;1;21;14;2;0,92354
1770;1;1;2;98;4;97;1;6;1;10;1;5;1;6;1;6;4;98;2;1;2;4;1;2;2;5;1;13;13;2;1,00121
1771;1;1;1;2;;4;1;1;1;4;1;6;1;3;1;0;2;1;96;2;1;3;1;1;3;5;1;8;8;2;0,92168
1781;1;98;2;98;97;98;1;2;1;5;1;1;1;0;2;;4;98;2;1;99;98;3;1;4;5;6;21;4;3;0,96788
1786;1;2;3;97;97;97;1;1;1;98;1;1;1;1;1;1;97;2;1;1;98;3;3;2;1;3;8;7;7;3;1,08108
1796;1;3;1;98;98;1;1;5;1;7;1;5;1;0;1;5;4;1;2;1;1;4;3;2;4;3;7;21;2;4;0,96615
1804;1;1;1;14;;1;1;6;1;8;1;3;1;0;1;5;4;2;2;1;1;4;3;1;3;4;1;21;14;2;0,92354
1807;1;1;2;2;;2;1;0;1;4;1;8;1;6;1;0;2;1;2;2;2;1;3;1;4;4;6;9;9;4;0,89323
1819;1;1;1;5;;5;1;0;1;0;1;4;1;10;1;0;5;1;1;2;2;1;1;2;3;2;5;13;13;3;0,97758
1821;1;1;1;2;;4;1;5;1;8;1;9;1;4;1;6;4;2;2;2;1;3;3;1;3;2;5;10;10;2;0,953
1822;1;1;1;1;;1;1;8;1;8;1;1;1;0;1;4;1;2;2;1;1;5;2;1;4;5;6;7;7;1;1,02079
1823;1;1;1;96;2;2;1;5;1;3;1;5;1;3;2;;2;1;2;1;1;1;3;2;2;2;5;21;6;1;1,12885
1832;1;2;2;2;;96;1;2;1;2;1;7;1;5;1;0;2;99;99;1;1;2;3;2;3;5;1;12;12;3;0,95468
1842;1;3;1;2;;97;1;5;2;;1;8;1;8;2;;2;99;2;2;1;5;5;1;2;4;1;21;14;2;1,00985
1855;1;1;1;98;7;7;1;3;1;0;1;5;1;6;1;3;97;98;1;2;2;2;4;2;2;3;1;9;9;1;1,08186
1861;1;4;4;97;95;97;1;0;1;0;1;0;1;3;1;0;97;1;96;2;2;1;5;1;1;5;1;9;9;3;0,99213
1864;1;1;1;4;;4;1;5;1;9;1;0;1;0;1;5;4;2;2;1;1;3;3;1;4;5;1;5;5;3;0,98751
1874;1;1;1;14;;1;1;9;1;8;1;1;1;1;1;10;1;2;2;1;1;5;1;1;3;5;1;21;14;3;0,95135
1882;1;1;1;98;9;96;1;4;1;2;1;6;1;5;1;0;97;1;1;2;2;2;5;2;2;5;1;16;16;3;1,03854
1885;1;4;4;97;97;97;1;0;1;0;1;0;1;0;1;0;97;99;96;1;2;98;1;1;3;5;1;5;5;2;0,9423
